year,event_id,event_name,player_id,top20,model_p,model_p_rn,open_am,close_am,fair_open,fair_close,edge,ev,clv_pct
2023,10,The Honda Classic,27194,0,0.173361522198732,0.136052083082226,360,360,0.169997552524402,0.167730471019792,-0.0339454694421756,-0.122203689991832,0
2023,10,The Honda Classic,27780,0,0.149659863945578,0.117451300527099,1200,1200,0.0601529801240192,0.0593507820531572,0.0572983204030795,0.687579844836954,0
2023,10,The Honda Classic,27870,0,0.149659863945578,0.117451300527099,1800,1600,0.0411573021901184,0.0453858921582967,0.0762939983369803,1.37329197006565,0.117647058823529
2023,10,The Honda Classic,28077,0,0.106140350877193,0.0832976986632976,3000,2200,0.0252254432778145,0.0335460942039584,0.0580722553854831,1.74216766156449,0.347826086956522
2023,10,The Honda Classic,28309,0,0.13265306122449,0.104104561830838,450,700,0.142179771202227,0.0964450208363804,-0.0380752093713897,-0.171338442171254,-0.3125
2023,10,The Honda Classic,28558,0,0.13265306122449,0.104104561830838,1200,1200,0.0601529801240192,0.0593507820531572,0.0439515817068183,0.52741898048182,0
2023,10,The Honda Classic,29304,0,0.13265306122449,0.104104561830838,3500,3000,0.0217219094892291,0.024889037635195,0.0823826523416084,2.88339283195629,0.161290322580645
2023,10,The Honda Classic,29767,1,0.149659863945578,0.117451300527099,1800,1400,0.0411573021901184,0.0514373444460696,0.0762939983369803,1.37329197006565,0.266666666666667
2024,10,Cognizant Classic in The Palm Beaches,5716,0,0.127906976744186,0.121426706454036,1000,900,0.0693376177159234,0.0762673704614663,0.052089088738113,0.52089088738113,0.1
2024,10,Cognizant Classic in The Palm Beaches,6093,0,0.242718446601942,0.230421375883652,225,240,0.234681167653895,0.224315795474901,-0.00425979177024205,-0.00958453148304461,-0.0441176470588235
2024,10,Cognizant Classic in The Palm Beaches,6169,0,0.274509803921569,0.260602058058217,450,550,0.138675235431847,0.117334416094564,0.12192682262637,0.548670701818667,-0.153846153846154
2024,10,Cognizant Classic in The Palm Beaches,6252,0,0.0846153846153846,0.0803284365772856,600,700,0.108959113553594,0.0953342130768329,-0.0286306769763083,-0.17178406185785,-0.125
2024,10,Cognizant Classic in The Palm Beaches,6789,0,0.0746268656716418,0.0708459752716902,9000,5000,0.00838147027335338,0.0149543863649934,0.0624645049983368,5.62180544985031,0.784313725490196
2024,10,Cognizant Classic in The Palm Beaches,6986,0,0.105504587155963,0.100159309994197,750,1000,0.089731034691195,0.0693339731467876,0.0104282753030019,0.0782120647725141,-0.227272727272727
2024,10,Cognizant Classic in The Palm Beaches,7399,0,0.114285714285714,0.108495550701788,300,300,0.190678448718789,0.190668426153666,-0.0821828980170009,-0.246548694051003,0
2024,10,Cognizant Classic in The Palm Beaches,7489,0,0.0746268656716418,0.0708459752716902,850,1000,0.0802856626184376,0.0693339731467876,-0.00943968734674744,-0.0802373424473532,-0.136363636363636
2024,10,Cognizant Classic in The Palm Beaches,7655,0,0.12396694214876,0.117686289500907,750,1000,0.089731034691195,0.0693339731467876,0.0279552548097119,0.209664411072839,-0.227272727272727
2024,10,Cognizant Classic in The Palm Beaches,7820,0,0.114285714285714,0.108495550701788,650,600,0.101695172650021,0.108953386373523,0.00680037805176742,0.0442024573364882,0.0714285714285714
2024,10,Cognizant Classic in The Palm Beaches,7959,0,0.0645161290322581,0.0612474882993967,6000,3500,0.012503504834019,0.0211853806837406,0.0487439834653777,2.92463900792266,0.694444444444445
2024,10,Cognizant Classic in The Palm Beaches,7960,0,0.114285714285714,0.108495550701788,230,210,0.231125392386411,0.246023775682149,-0.122629841684623,-0.282048635874633,0.064516129032258
2024,10,Cognizant Classic in The Palm Beaches,8480,0,0.105504587155963,0.100159309994197,750,1000,0.089731034691195,0.0693339731467876,0.0104282753030019,0.0782120647725141,-0.227272727272727
