key,market,book,player_id,player,opp_ids,opponent,book_odds,dg_fair_p,dg_fair_odds,ev_vs_dg,event,ts,close_odds,close_dg_fair_p,clv_pct,beat,ev_at_close,flagged
"3_balls bet365 20722 17381,28159",3_balls,bet365,20722,"Schmid, Matti","17381,28159","Silverman, Ben / Meissner, Mac",2.62,0.32924,3.037,-0.1374,RBC Canadian Open,2026-06-10 09:51:07.45615,2.62,0.32924,0,FALSE,-0.1373912,FALSE
"3_balls bet365 20766 10873,30036882",3_balls,bet365,20766,"Brown, Dan","10873,30036882","Skinns, David / Zhao, Eric",1.952,0.50012,2,-0.0236,RBC Canadian Open,2026-06-10 09:51:07.45615,1.952,0.50012,0,FALSE,-0.02376576,FALSE
"3_balls bet365 20954 21995,9457",3_balls,bet365,20954,"Hirata, Kensei","21995,9457","Benson, Yohann / Springer, Hayden",2.45,0.40258,2.484,-0.0137,RBC Canadian Open,2026-06-10 09:51:07.45615,2.45,0.40258,0,FALSE,-0.013679,FALSE
"3_balls bet365 21074 27780,30040252",3_balls,bet365,21074,"Nakajima, Keita","27780,30040252","Crowe, Trace / Lew, Dawson",2.15,0.46044,2.172,-0.0101,RBC Canadian Open,2026-06-10 09:51:07.45615,2.15,0.46044,0,FALSE,-0.010054,FALSE
"3_balls bet365 21407 19483,23604",3_balls,bet365,21407,"Reitan, Kristoffer","19483,23604","Burns, Sam / Clark, Wyndham",3,0.31582,3.166,-0.0525,RBC Canadian Open,2026-06-10 09:51:07.45615,3,0.31582,0,FALSE,-0.05254,FALSE
"3_balls bet365 21756 26649,27164",3_balls,bet365,21756,"Cole, Eric","26649,27164","Thorbjornsen, Michael / Phillips, Chandler",2.2,0.41863,2.389,-0.079,RBC Canadian Open,2026-06-10 09:51:07.45615,2.2,0.41863,0,FALSE,-0.0790139999999999,FALSE
"3_balls bet365 21883 25289,32330",3_balls,bet365,21883,"Ewart, A.J.","25289,32330","Savoie, Joey / Clanton, Luke",2.25,0.40181,2.489,-0.0959,RBC Canadian Open,2026-06-10 09:51:07.45615,2.25,0.40181,0,FALSE,-0.0959275,FALSE
"3_balls bet365 21889 24343,7626",3_balls,bet365,21889,"Kang, Jeffrey","24343,7626","O'Hair, Sean / Lamprecht, Christo",2.45,0.40847,2.448,8e-04,RBC Canadian Open,2026-06-10 09:51:07.45615,2.45,0.40847,0,FALSE,0.000751500000000016,FALSE
"3_balls bet365 21943 12920,17723",3_balls,bet365,21943,"Lebioda, Hank","12920,17723","Willett, Danny / Lower, Justin",2.7,0.35673,2.803,-0.0368,RBC Canadian Open,2026-06-10 09:51:07.45615,2.7,0.35673,0,FALSE,-0.036829,FALSE
"3_balls bet365 21944 15330,9171",3_balls,bet365,21944,"Moore, Taylor","15330,9171","Villegas, Camilo / Griffin, Lanto",2.2,0.44423,2.251,-0.0227,RBC Canadian Open,2026-06-10 09:51:07.45615,2.2,0.44423,0,FALSE,-0.0226939999999999,FALSE
"3_balls bet365 21995 20954,9457",3_balls,bet365,21995,"Springer, Hayden","20954,9457","Benson, Yohann / Hirata, Kensei",2.2,0.44939,2.225,-0.0114,RBC Canadian Open,2026-06-10 09:51:07.45615,2.2,0.44939,0,FALSE,-0.0113419999999999,FALSE
"3_balls bet365 22002 11441,17032",3_balls,bet365,22002,"Dumont De Chassart, Adrien","11441,17032","Covello, Vince / Tosti, Alejandro",1.952,0.51089,1.957,-0.0025,RBC Canadian Open,2026-06-10 09:51:07.45615,1.952,0.51089,0,FALSE,-0.00274272000000009,FALSE
"3_balls bet365 22085 18554,6093",3_balls,bet365,22085,"Morikawa, Collin","18554,6093","Rose, Justin / Rai, Aaron",2.62,0.34089,2.934,-0.1069,RBC Canadian Open,2026-06-10 09:51:07.45615,2.62,0.34089,0,FALSE,-0.1068682,FALSE
"3_balls bet365 22985 14050,25003",3_balls,bet365,22985,"Smotherman, Austin","14050,25003","Sloan, Roger / Walker, Danny",2.2,0.43701,2.288,-0.0386,RBC Canadian Open,2026-06-10 09:51:07.45615,2.2,0.43701,0,FALSE,-0.0385779999999999,FALSE
"3_balls bet365 23014 12294,17576",3_balls,bet365,23014,"Theegala, Sahith","12294,17576","Fleetwood, Tommy / Conners, Corey",3.25,0.27046,3.697,-0.121,RBC Canadian Open,2026-06-10 09:51:07.45615,3.25,0.27046,0,FALSE,-0.121005,FALSE
"3_balls bet365 23048 25475,35395",3_balls,bet365,23048,"Stanger, Jimmy","25475,35395","Nyholm, Pontus / Sanderson, Calen",2.25,0.41288,2.422,-0.071,RBC Canadian Open,2026-06-10 09:51:07.45615,2.25,0.41288,0,FALSE,-0.07102,FALSE
"3_balls bet365 23323 13900,25362",3_balls,bet365,23323,"MacIntyre, Robert","13900,25362","Lowry, Shane / Fitzpatrick, Alex",2.62,0.34559,2.894,-0.0945,RBC Canadian Open,2026-06-10 09:51:07.45615,2.62,0.34559,0,FALSE,-0.0945541999999999,FALSE
"3_balls bet365 23465 14502,19870",3_balls,bet365,23465,"Greyserman, Max","14502,19870","Cauley, Bud / McCarthy, Denny",2.75,0.30518,3.277,-0.1608,RBC Canadian Open,2026-06-10 09:51:07.45615,2.75,0.30518,0,FALSE,-0.160755,FALSE
"3_balls bet365 23504 15575,28270",3_balls,bet365,23504,"Hoey, Rico","15575,28270","Hoge, Tom / Dunlap, Nick",2.25,0.44095,2.268,-0.0079,RBC Canadian Open,2026-06-10 09:51:07.45615,2.25,0.44095,0,FALSE,-0.00786249999999999,FALSE
"3_balls bet365 23505 12909,16715",3_balls,bet365,23505,"McGreevy, Max","12909,16715","Campos, Rafael / Ryder, Sam",2.15,0.45805,2.183,-0.0152,RBC Canadian Open,2026-06-10 09:51:07.45615,2.15,0.45805,0,FALSE,-0.0151925000000001,FALSE
"3_balls bet365 23602 17881,19872",3_balls,bet365,23602,"Hojgaard, Nicolai","17881,19872","Yu, Kevin / Riley, Davis",1.952,0.50391,1.984,-0.0162,RBC Canadian Open,2026-06-10 09:51:07.45615,1.952,0.50391,0,FALSE,-0.0163676800000001,FALSE
"3_balls bet365 23604 19483,21407",3_balls,bet365,23604,"Clark, Wyndham","19483,21407","Burns, Sam / Reitan, Kristoffer",2.8,0.3187,3.138,-0.1076,RBC Canadian Open,2026-06-10 09:51:07.45615,2.8,0.3187,0,FALSE,-0.10764,FALSE
"3_balls bet365 23841 29702,30620",3_balls,bet365,23841,"Neergaard-Petersen, Rasmus","29702,30620","Sihota, Jeevan / Chatfield, Davis",1.725,0.56589,1.767,-0.024,RBC Canadian Open,2026-06-10 09:51:07.45615,1.725,0.56589,0,FALSE,-0.0238397499999999,FALSE
"3_balls bet365 24304 29770,5768",3_balls,bet365,24304,"Vilips, Karl","29770,5768","Hoffman, Charley / Mouw, William",2.7,0.33009,3.029,-0.1088,RBC Canadian Open,2026-06-10 09:51:07.45615,2.7,0.33009,0,FALSE,-0.108757,FALSE
"3_balls bet365 24342 11676,29197",3_balls,bet365,24342,"Higgo, Garrick","11676,29197","Finau, Tony / Brennan, Michael",3.4,0.26673,3.749,-0.0931,RBC Canadian Open,2026-06-10 09:51:07.45615,3.4,0.26673,0,FALSE,-0.0931179999999999,FALSE
"3_balls bet365 24343 21889,7626",3_balls,bet365,24343,"Lamprecht, Christo","21889,7626","O'Hair, Sean / Kang, Jeffrey",2.45,0.38611,2.59,-0.054,RBC Canadian Open,2026-06-10 09:51:07.45615,2.45,0.38611,0,FALSE,-0.0540304999999999,FALSE
"3_balls bet365 24550 13470,15980",3_balls,bet365,24550,"Ghim, Doug","13470,15980","Kizzire, Patton / Lipsky, David",2,0.49273,2.03,-0.0145,RBC Canadian Open,2026-06-10 09:51:07.45615,2,0.49273,0,FALSE,-0.01454,FALSE
"3_balls bet365 24766 18586,26653",3_balls,bet365,24766,"Kim, Tom","18586,26653","Smith, Jordan / Eckroat, Austin",2.62,0.34346,2.912,-0.1001,RBC Canadian Open,2026-06-10 09:51:07.45615,2.62,0.34346,0,FALSE,-0.1001348,FALSE
"3_balls bet365 24956 15310,32259",3_balls,bet365,24956,"Blanchet, Chandler","15310,32259","Li, Haotong / Matthews, Justin",2.5,0.39567,2.527,-0.0108,RBC Canadian Open,2026-06-10 09:51:07.45615,2.5,0.39567,0,FALSE,-0.010825,FALSE
"3_balls bet365 25002 17365,18424",3_balls,bet365,25002,"Wu, Dylan","17365,18424","Mitchell, Keith / Roy, Kevin",3.5,0.23751,4.21,-0.1687,RBC Canadian Open,2026-06-10 09:51:07.45615,3.5,0.23751,0,FALSE,-0.168715,FALSE
"3_balls bet365 25003 14050,22985",3_balls,bet365,25003,"Walker, Danny","14050,22985","Sloan, Roger / Smotherman, Austin",3.1,0.26999,3.704,-0.163,RBC Canadian Open,2026-06-10 09:51:07.45615,3.1,0.26999,0,FALSE,-0.163031,FALSE
"3_balls bet365 25094 16341,16492",3_balls,bet365,25094,"Fishburn, Patrick","16341,16492","Peterson, Paul / Nesbitt, Drew",2.3,0.40871,2.447,-0.06,RBC Canadian Open,2026-06-10 09:51:07.45615,2.3,0.40871,0,FALSE,-0.059967,FALSE
"3_balls bet365 25157 11451,15470",3_balls,bet365,25157,"Hodges, Lee","11451,15470","Garnett, Brice / Hossler, Beau",2.45,0.37457,2.67,-0.0823,RBC Canadian Open,2026-06-10 09:51:07.45615,2.45,0.37457,0,FALSE,-0.0823034999999999,FALSE
"3_balls bet365 25289 21883,32330",3_balls,bet365,25289,"Savoie, Joey","21883,32330","Ewart, A.J. / Clanton, Luke",3.5,0.23862,4.191,-0.1648,RBC Canadian Open,2026-06-10 09:51:07.45615,3.5,0.23862,0,FALSE,-0.16483,FALSE
"3_balls bet365 25319 26617,26850",3_balls,bet365,25319,"VanDerLaan, John","26617,26850","Anderson, Matthew / Svensson, Jesper",2.7,0.36042,2.775,-0.0269,RBC Canadian Open,2026-06-10 09:51:07.45615,2.7,0.36042,0,FALSE,-0.0268659999999998,FALSE
