event_id,year,player_id,open_am,close_am,top20,wave,is_calm,wind_gap,open_dec,close_dec,open_imp,fair_p,pnl_open,clv
10,2024,14967,360,360,0,AM,1,5.23333333333333,4.6,4.6,0.217391304347826,0.165807346711991,-1,0
10,2024,15004,550,500,0,AM,1,5.23333333333333,6.5,6,0.153846153846154,0.117340583826947,-1,0.0833333333333333
10,2024,15470,225,230,0,AM,1,5.23333333333333,3.25,3.3,0.307692307692308,0.234681167653895,-1,-0.0151515151515151
10,2024,15475,650,400,0,AM,1,5.23333333333333,7.5,5,0.133333333333333,0.101695172650021,-1,0.5
10,2024,15575,240,230,0,PM,0,5.23333333333333,3.4,3.3,0.294117647058824,0.224327586727987,-1,0.0303030303030303
10,2024,15980,1200,1000,0,PM,0,5.23333333333333,13,11,0.0769230769230769,0.0586702919134736,-1,0.181818181818182
10,2024,16333,330,300,0,AM,1,5.23333333333333,4.3,4,0.232558139534884,0.177375301133757,-1,0.075
10,2024,16394,180,200,0,AM,1,5.23333333333333,2.8,3,0.357142857142857,0.272397783883985,-1,-0.0666666666666668
10,2024,16395,650,850,0,AM,1,5.23333333333333,7.5,9.5,0.133333333333333,0.101695172650021,-1,-0.210526315789474
10,2024,16433,800,700,0,AM,1,5.23333333333333,9,8,0.111111111111111,0.0847459772083508,-1,0.125
10,2024,16566,1200,1000,0,PM,0,5.23333333333333,13,11,0.0769230769230769,0.0586702919134736,-1,0.181818181818182
10,2024,16713,550,550,0,PM,0,5.23333333333333,6.5,6.5,0.153846153846154,0.117340583826947,-1,0
10,2024,16715,550,450,0,AM,1,5.23333333333333,6.5,5.5,0.153846153846154,0.117340583826947,-1,0.181818181818182
10,2024,16841,165,180,1,PM,0,5.23333333333333,2.65,2.8,0.377358490566038,0.287816526367984,1.65,-0.0535714285714285
10,2024,17032,650,800,0,PM,0,5.23333333333333,7.5,9,0.133333333333333,0.101695172650021,-1,-0.166666666666667
10,2024,17266,500,650,0,PM,0,5.23333333333333,6,7.5,0.166666666666667,0.127118965812526,-1,-0.2
10,2024,17365,175,190,1,AM,1,5.23333333333333,2.75,2.9,0.363636363636364,0.277350470863694,1.75,-0.0517241379310345
10,2024,17381,550,400,1,PM,0,5.23333333333333,6.5,5,0.153846153846154,0.117340583826947,5.5,0.3
10,2024,17488,175,175,0,PM,0,5.23333333333333,2.75,2.75,0.363636363636364,0.277350470863694,-1,0
10,2024,17511,210,190,0,PM,0,5.23333333333333,3.1,2.9,0.32258064516129,0.246036708024244,-1,0.0689655172413795
10,2024,17543,500,500,0,AM,1,5.23333333333333,6,6,0.166666666666667,0.127118965812526,-1,0
