course_name,event_id,year,event_name,n,am_tee,pm_tee,am_score,pm_score,r1_date,gap_score,lat,lon,am_wind,pm_wind,am_gust,pm_gust,wind_gap,gust_gap
El Cardonal at Diamante,457,2024,World Wide Technology Championship,120,7.325,11.9083333333333,72.3166666666667,72.4833333333333,2024-11-07,0.166666666666671,22.954,-109.999,14,15.9166666666667,24.4166666666667,28.9333333333333,1.91666666666667,4.51666666666667
El Cardonal at Diamante,457,2025,World Wide Technology Championship,120,7.325,11.9083333333333,68.7666666666667,70.3666666666667,2025-11-06,1.59999999999999,22.954,-109.999,6.2,7.4,15.35,18.2666666666667,1.2,2.91666666666667
Grand Reserve Country Club,483,2021,Puerto Rico Open,132,7.91666666666667,12.6666666666667,71.8181818181818,71.5909090909091,2021-02-25,-0.22727272727272,18.387,-65.63,13.8166666666667,12.7333333333333,28.45,28.2,-1.08333333333333,-0.25
Grand Reserve Golf Club,483,2022,Puerto Rico Open,120,7.99166666666667,12.4916666666667,72.25,72.5333333333333,2022-03-03,0.283333333333331,18.387,-65.63,9.56666666666667,7.93333333333333,19.7,19.7333333333333,-1.63333333333333,0.033333333333335
Grand Reserve Golf Club,483,2023,Puerto Rico Open,120,7.99166666666667,12.4916666666667,71.7333333333333,71.8166666666667,2023-03-02,0.0833333333333286,18.387,-65.63,8.06666666666667,9.18333333333333,17,20.3833333333333,1.11666666666667,3.38333333333333
Grand Reserve Golf Club,483,2024,Puerto Rico Open,132,7.75,12.5,70.5454545454546,70.1515151515152,2024-03-07,-0.393939393939391,18.387,-65.63,9.96666666666667,9.91666666666667,20.95,22.6833333333333,-0.0499999999999989,1.73333333333333
Grand Reserve Golf Club,483,2025,Puerto Rico Open,132,7.66666666666667,12.4166666666667,69.1969696969697,69.1515151515152,2025-03-06,-0.0454545454545468,18.387,-65.63,5.08333333333333,8.25,12.4,20.1333333333333,3.16666666666667,7.73333333333333
Harbour Town Golf Links,12,2021,RBC Heritage,134,7.91666666666667,12.75,70.3076923076923,71.0869565217391,2021-04-15,0.779264214046819,32.1307456,-80.8107889,9.05,14.75,15.7,25.7333333333333,5.7,10.0333333333333
Harbour Town Golf Links,12,2022,RBC Heritage,131,7.99166666666667,12.5666666666667,70.0833333333333,70.6056338028169,2022-04-14,0.522300469483568,32.1307456,-80.8107889,12.2333333333333,14.7833333333333,19.85,27.1166666666667,2.55,7.26666666666667
Harbour Town Golf Links,12,2023,RBC Heritage,142,7.91666666666667,13.1,70.9295774647887,70.3802816901409,2023-04-13,-0.549295774647888,32.1307456,-80.8107889,11.6,12.0333333333333,18.6,22.2833333333333,0.433333333333334,3.68333333333333
Harbour Town Golf Links,12,2024,RBC Heritage,69,9.58333333333333,12.6666666666667,69.6666666666667,69.0833333333333,2024-04-18,-0.583333333333343,32.1307456,-80.8107889,3.9,7.16666666666667,12.05,18.7,3.26666666666667,6.65
Harbour Town Golf Links,12,2025,RBC Heritage,72,9.5,12.6666666666667,68.1388888888889,70.4444444444444,2025-04-17,2.30555555555556,32.1307456,-80.8107889,4.68333333333333,8.26666666666667,13.1833333333333,19.2666666666667,3.58333333333333,6.08333333333333
Hurstbourne Country Club,518,2025,ISCO Championship,156,7.85,13.2666666666667,70.3205128205128,71.9871794871795,2025-07-10,1.66666666666667,38.2398101,-85.59123,2.13333333333333,3,7.88333333333333,10.2833333333333,0.866666666666667,2.4
Innisbrook Resort (Copperhead Course),475,2023,Valspar Championship,144,8.71666666666667,13.55,72.2222222222222,72.5555555555556,2023-03-16,0.333333333333329,28.1149291,-82.7510341,10.8166666666667,7.28333333333333,20.5666666666667,18.4333333333333,-3.53333333333333,-2.13333333333333
Innisbrook Resort (Copperhead Course),475,2024,Valspar Championship,152,8.725,13.8916666666667,70.9868421052632,71.1578947368421,2024-03-21,0.171052631578945,28.1149291,-82.7510341,5.75,3.81666666666667,13.55,13.5,-1.93333333333333,-0.0500000000000007
Innisbrook Resort (Copperhead Course),475,2025,Valspar Championship,152,8.68333333333333,13.85,72.6,72.5064935064935,2025-03-20,-0.0935064935064815,28.1149291,-82.7510341,10.95,14.7,21.5833333333333,31.95,3.75,10.3666666666667
Innisbrook Resort (Copperhead),475,2021,Valspar Championship,156,8.01666666666667,13.1833333333333,71.2179487179487,71.0512820512821,2021-04-29,-0.166666666666657,28.1149291,-82.7510341,8.21666666666667,9.81666666666667,17.5,21.2333333333333,1.6,3.73333333333333
Innisbrook Resort (Copperhead),475,2022,Valspar Championship,144,8.675,13.5083333333333,69.7916666666667,70.0277777777778,2022-03-17,0.2361111111111,28.1149291,-82.7510341,2.8,5.11666666666667,8.78333333333333,13.65,2.31666666666667,4.86666666666667
Keene Trace Golf Club,518,2021,Barbasol Championship,131,8.575,13.6666666666667,70.1166666666667,69.2957746478873,2021-07-15,-0.820892018779333,37.918,-84.573,6.16666666666667,6.18333333333333,17.1,19.8,0.0166666666666666,2.7
Keene Trace Golf Club,518,2022,Barbasol Championship,155,7.75833333333333,13.2666666666667,69.5555555555556,70.1325301204819,2022-07-07,0.576974564926374,37.918,-84.573,1.58333333333333,3.15,6.81666666666667,11.7,1.56666666666667,4.88333333333333
Keene Trace Golf Club (Champion Trace),518,2024,ISCO Championship,156,7.85,13.2666666666667,69.4487179487179,69.3846153846154,2024-07-11,-0.064102564102555,37.918,-84.573,2.71666666666667,2.76666666666667,8.16666666666667,10.6,0.0499999999999998,2.43333333333333
