"game_id","season","week","week_period","start_date","home_team","away_team","spread","spread_feature","over_under","line_movement","sharp_home_signal","sharp_away_signal","home_covered","over_hit","spread_prob","totals_prob","actual_margin","home_score","away_score","total_points","conference_tier","bye_adv","elo_diff"
401282206,2021,4,"mid",2021-09-25 16:00:00,"Central Michigan","Florida International",-12,-12,55.5,0,0,0,0,1,0.452144200225995,0.564398133963575,4,31,27,58,0,0,89.4815279566158
401282207,2021,4,"mid",2021-09-26,"Air Force","Florida Atlantic",-3.5,-3.5,54,0,0,0,1,0,0.830210485732525,0.675330433399188,24,31,7,38,0,0,6.99212836564834
401282208,2021,4,"mid",2021-09-23 23:30:00,"App State","Marshall",-7,-7,59.5,0,0,0,0,1,0.572866548675603,0.398678495518712,1,31,30,61,0,0,50.6455340128821
401282209,2021,4,"mid",2021-09-25 22:00:00,"Old Dominion","Buffalo",13,13,50.5,0,0,0,1,1,0.323792368013982,0.298442023027459,-1,34,35,69,0,0,-122.405601027089
401282210,2021,4,"mid",2021-09-25 22:30:00,"Rice","Texas Southern",-37,-37,53.5,0,0,0,0,1,0.594469400005049,0.242568679723274,14,48,34,82,0,-1,27.3958366833892
401282211,2021,4,"mid",2021-09-26,"Tulane","UAB",-2.5,-2.5,54.5,0,0,0,0,0,0.373600958787863,0.388016384263654,-7,21,28,49,0,0,-71.3300691929235
401282212,2021,4,"mid",2021-09-26 01:00:00,"UTEP","New Mexico",2.5,2.5,54,0,0,0,1,0,0.646898991231981,0.318988844511358,7,20,13,33,0,1,23.1190321078711
401282213,2021,4,"mid",2021-09-25 19:30:00,"Memphis","UTSA",-3,-3,66.5,0,0,0,0,0,0.338366004029914,0.603734468534648,-3,28,31,59,0,0,89.2959159764807
401282214,2021,4,"mid",2021-09-26,"Western Kentucky","Indiana",9.5,9.5,62.5,0,0,0,1,1,0.207980627253354,0.490407110690471,-2,31,33,64,1,1,-40.7919346977314
401282215,2021,5,"mid",2021-10-02 19:30:00,"Florida Atlantic","Florida International",-10.5,-10.5,52,0,0,0,1,1,0.442915802567129,0.670428425756323,37,58,21,79,0,0,150.470445878054
401282216,2021,5,"mid",2021-10-02 23:00:00,"Middle Tennessee","Marshall",10.5,10.5,65.5,0,0,0,1,0,0.424276983299123,0.548622919453036,6,34,28,62,0,0,-158.340416837918
401282217,2021,5,"mid",2021-10-03 01:00:00,"UTEP","Old Dominion",-5.5,-5.5,48.5,0,0,0,1,1,0.699035438915504,0.348924141744083,7,28,21,49,0,0,50.3326219084502
401282218,2021,5,"mid",2021-10-02 22:30:00,"Rice","Southern Miss",-1.5,-1.5,44.5,0,0,0,1,0,0.589972076030286,0.279328711206178,5,24,19,43,0,0,-31.6825505126551
401282219,2021,5,"mid",2021-10-02 16:00:00,"Illinois","Charlotte",-10.5,-10.5,54,0,0,0,0,0,0.227534113132061,0.585380031993515,10,24,14,38,1,0,-92.7433581569592
401282220,2021,5,"mid",2021-10-02 22:00:00,"NC State","Louisiana Tech",-17.5,-17.5,56,0,0,0,0,1,0.8449148868653,0.238764387696243,7,34,27,61,1,0,46.2447784467147
401282221,2021,5,"mid",2021-10-02 23:00:00,"UAB","Liberty",-3,-3,49.5,0,0,0,0,0,0.522969718010636,0.626567050407302,-24,12,36,48,0,0,5.049465190418
401282222,2021,5,"mid",2021-10-02 22:00:00,"UTSA","UNLV",-21.5,-21.5,55.5,0,0,0,0,0,0.205606986304339,0.371014488522265,7,24,17,41,0,0,242.784993377149
401282223,2021,5,"mid",2021-10-02 23:30:00,"Michigan State","Western Kentucky",-10.5,-10.5,66.5,0,0,0,1,1,0.864015288308751,0.374828129343505,17,48,31,79,1,0,49.9838865777965
401282224,2021,6,"mid",2021-10-08 23:00:00,"Florida International","Charlotte",3.5,3.5,60.5,0,0,0,0,1,0.211691659568708,0.371073144226488,-12,33,45,78,0,0,-80.7631356264853
401282225,2021,6,"mid",2021-10-09 19:30:00,"UAB","Florida Atlantic",-3.5,-3.5,49,0,0,0,1,0,0.882461226546811,0.601229651812241,17,31,14,45,0,0,23.8771797767859
401282226,2021,6,"mid",2021-10-09 18:00:00,"Marshall","Old Dominion",-21,-21,62.5,0,0,0,0,0,0.287674660273615,0.691949192712542,7,20,13,33,0,0,161.931807601669
401282227,2021,6,"mid",2021-10-09 23:00:00,"Southern Miss","UTEP",1.5,1.5,46,0,0,0,0,0,0.425603081621362,0.633036834968777,-13,13,26,39,0,0,-60.4864638827407
401282228,2021,6,"mid",2021-10-09 23:00:00,"Western Kentucky","UTSA",-3.5,-3.5,71.5,0,0,0,0,1,0.228714971142304,0.516553334968925,-6,46,52,98,0,0,-73.2058129639859
