"i","week","bet_type","ev","stake","win","pnl","bankroll","drawdown"
196,8,"totals",0.195702919006348,36.389,1,33.078,760.86,5.8
197,8,"totals",0.191682316601276,38.043,0,-38.043,722.82,10.5
198,8,"spread",0.486163138687611,36.141,0,-36.141,686.68,15
199,8,"spread",0.158940492272377,30.017,0,-30.017,656.66,18.7
200,8,"spread",0.44929216080904,32.833,1,29.845,686.51,15
201,8,"spread",0.384861025869846,34.325,0,-34.325,652.18,19.3
202,8,"spread",0.302101587712765,32.609,1,29.642,681.82,15.6
203,8,"spread",0.546854151904583,34.091,1,30.989,712.81,11.7
204,8,"spread",0.201036034464836,35.641,1,32.397,745.21,7.7
205,8,"spread",0.160386020302772,32.872,1,29.88,775.09,4
206,8,"totals",0.379137058019638,38.755,1,35.228,810.32,0
207,8,"spread",0.181782315671444,40.512,0,-40.512,769.81,5
208,8,"totals",0.462531986892223,38.49,0,-38.49,731.32,9.7
209,8,"spread",0.24815121370554,36.566,1,33.238,764.56,5.6
210,8,"spread",0.240137089788914,38.228,0,-38.228,726.33,10.4
211,8,"totals",0.207479238986969,36.316,1,33.012,759.34,6.3
212,8,"totals",0.313744778931141,37.967,0,-37.967,721.37,11
213,8,"totals",0.142214285612106,28.215,0,-28.215,693.16,14.5
214,8,"spread",0.155889112770557,29.718,1,27.014,720.17,11.1
215,8,"spread",0.211292638421059,36.009,1,32.732,752.9,7.1
216,8,"totals",0.357022094905377,37.645,0,-37.645,715.26,11.7
217,8,"spread",0.173859219968319,34.201,1,31.089,746.35,7.9
218,8,"spread",0.299143170773983,37.317,1,33.921,780.27,3.7
219,8,"spread",0.171729159772396,36.852,1,33.499,813.77,0
220,9,"totals",0.20173160380125,40.688,1,36.986,850.75,0
221,9,"spread",0.465915960729122,42.538,1,38.667,889.42,0
222,9,"spread",0.294499138891697,44.471,1,40.424,929.84,0
223,9,"spread",0.210013009309769,46.492,1,42.261,972.1,0
224,9,"spread",0.291820406138897,48.605,1,44.182,1016.29,0
225,9,"totals",0.171143962144852,47.836,1,43.483,1059.77,0
226,9,"spread",0.308602822721004,52.988,1,48.167,1107.94,0
227,9,"totals",0.260227699220181,55.397,0,-55.397,1052.54,5
228,9,"spread",0.346582979381085,52.627,1,47.838,1100.38,0.7
229,9,"spread",0.612121039628983,55.019,1,50.012,1150.39,0
230,9,"spread",0.371810083329678,57.519,1,52.285,1202.67,0
231,9,"spread",0.247936500906944,60.134,1,54.662,1257.34,0
232,9,"spread",0.184348059654236,62.867,1,57.146,1314.48,0
233,9,"totals",0.263421082735062,65.724,1,59.743,1374.22,0
234,9,"totals",0.18683722615242,68.711,1,62.459,1436.68,0
235,9,"spread",0.266398956954479,71.834,0,-71.834,1364.85,5
236,9,"spread",0.33239247739315,68.242,1,62.032,1426.88,0.7
237,9,"spread",0.383280889868736,71.344,1,64.852,1491.73,0
238,9,"spread",0.221531150519848,74.587,0,-74.587,1417.15,5
239,9,"spread",0.203845734059811,70.857,1,64.409,1481.56,0.7
240,9,"spread",0.298102263152599,74.078,1,67.337,1548.89,0
241,9,"spread",0.175042472958565,74.566,0,-74.566,1474.33,4.8
242,9,"spread",0.395626363754273,73.716,1,67.008,1541.33,0.5
243,9,"totals",0.146524926662445,62.113,1,56.461,1597.8,0
244,9,"spread",0.18507241666317,79.89,0,-79.89,1517.91,5
245,9,"totals",0.164336417198181,68.605,0,-68.605,1449.3,9.3
246,9,"spread",0.165304047107697,65.89,0,-65.89,1383.41,13.4
247,9,"spread",0.197096902310848,69.171,0,-69.171,1314.24,17.7
248,9,"spread",0.205244041204452,65.712,1,59.732,1373.97,14
249,9,"totals",0.271412677168846,68.699,0,-68.699,1305.27,18.3
250,9,"spread",0.166888165593147,59.911,0,-59.911,1245.36,22.1
251,9,"spread",0.309878355562687,62.268,0,-62.268,1183.1,26
252,9,"totals",0.191402404844761,59.155,1,53.772,1236.87,22.6
253,9,"spread",0.212885404586792,61.843,1,56.216,1293.08,19.1
254,9,"spread",0.170539307236671,60.649,0,-60.649,1232.43,22.9
255,9,"spread",0.225397573888302,61.622,1,56.014,1288.45,19.4
256,9,"totals",0.168323452949524,59.647,1,54.219,1342.67,16
257,9,"totals",0.16287359380722,60.144,0,-60.144,1282.52,19.7
258,9,"spread",0.219568809807301,64.126,0,-64.126,1218.4,23.7
259,9,"spread",0.260041660308838,60.92,0,-60.92,1157.48,27.6
260,9,"spread",0.173197899997234,55.135,0,-55.135,1102.34,31
261,9,"totals",0.39479595887661,55.117,0,-55.117,1047.22,34.5
262,10,"totals",0.248752568840981,52.361,0,-52.361,994.86,37.7
263,10,"spread",0.178141983628273,48.742,0,-48.742,946.12,40.8
264,10,"totals",0.153153942525387,39.852,0,-39.852,906.27,43.3
265,10,"spread",0.158423565804958,39.487,1,35.894,942.16,41
266,10,"totals",0.291942952871323,47.108,0,-47.108,895.05,44
267,10,"totals",0.239088786125183,44.753,1,40.68,935.73,41.4
268,10,"spread",0.181692197740078,46.759,0,-46.759,888.97,44.4
269,10,"spread",0.158158559918404,38.669,0,-38.669,850.31,46.8
270,10,"totals",0.158995450556278,37.182,1,33.799,884.1,44.7
271,10,"spread",0.234748333334923,44.205,1,40.183,924.29,42.2
272,10,"spread",0.377041702330112,46.214,1,42.009,966.3,39.5
273,10,"spread",0.474844007909298,48.315,1,43.918,1010.21,36.8
274,10,"spread",0.306209008276463,50.511,1,45.914,1056.13,33.9
275,10,"spread",0.337542057216167,52.806,1,48.001,1104.13,30.9
276,10,"spread",0.520357773303986,55.206,1,50.183,1154.31,27.8
277,10,"spread",0.411190140128136,57.716,1,52.464,1206.78,24.5
278,10,"spread",0.193633620142937,60.339,0,-60.339,1146.44,28.2
279,10,"spread",0.400249914288521,57.322,0,-57.322,1089.12,31.8
280,10,"spread",0.499933886826038,54.456,0,-54.456,1034.66,35.2
281,10,"spread",0.17731123739481,50.456,0,-50.456,984.2,38.4
282,10,"spread",0.203743099749088,49.21,1,44.732,1028.94,35.6
283,10,"spread",0.289682608544827,51.447,0,-51.447,977.49,38.8
284,10,"spread",0.226242543280125,48.874,0,-48.874,928.61,41.9
285,10,"totals",0.224914214074612,46.431,0,-46.431,882.18,44.8
286,10,"spread",0.178099427938461,43.211,1,39.279,921.46,42.3
287,10,"totals",0.174990017950535,44.347,1,40.312,961.77,39.8
288,10,"spread",0.419693426907063,48.089,0,-48.089,913.69,42.8
289,10,"spread",0.158011435568333,39.707,0,-39.707,873.98,45.3
290,10,"spread",0.188614552021027,43.699,0,-43.699,830.28,48
291,10,"spread",0.301115069448948,41.514,0,-41.514,788.77,50.6
292,10,"spread",0.172544431209564,37.43,0,-37.43,751.34,53
293,10,"spread",0.231943754076958,37.567,1,34.148,785.48,50.8
294,10,"spread",0.328887322247028,39.274,1,35.7,821.18,48.6
295,10,"totals",0.199510629177094,41.059,0,-41.059,780.13,51.2
296,10,"totals",0.420996268212795,39.006,1,35.457,815.58,49
297,11,"spread",0.434079753339291,40.779,1,37.068,852.65,46.6
298,11,"totals",0.223177395761013,42.633,1,38.753,891.4,44.2
299,11,"spread",0.232333468616009,44.57,0,-44.57,846.83,47
300,11,"totals",0.182555941700935,42.342,0,-42.342,804.49,49.6
301,11,"spread",0.214789601027966,40.225,1,36.564,841.06,47.4
302,11,"totals",0.392071256875992,42.053,0,-42.053,799,50
303,11,"totals",0.197203177750111,39.95,1,36.315,835.32,47.7
304,11,"spread",0.345710360169411,41.766,0,-41.766,793.55,50.3
305,11,"spread",0.240017729043961,39.678,1,36.067,829.62,48.1
306,11,"spread",0.279145523905754,41.481,0,-41.481,788.14,50.7
307,11,"spread",0.297457669615746,39.407,1,35.821,823.96,48.4
308,11,"totals",0.145055276155472,32.871,0,-32.871,791.09,50.5
309,11,"spread",0.188963645219803,39.554,1,35.955,827.04,48.2
310,11,"spread",0.231052929222584,41.352,1,37.589,864.63,45.9
311,11,"spread",0.385071983754635,43.232,1,39.297,903.93,43.4
312,11,"spread",0.221531036734581,45.196,1,41.084,945.01,40.9
313,11,"spread",0.237478383243084,47.251,1,42.951,987.96,38.2
314,11,"spread",0.18965147715807,49.398,0,-49.398,938.56,41.3
315,11,"spread",0.268271521091461,46.928,1,42.658,981.22,38.6
316,11,"spread",0.30029433631897,49.061,1,44.597,1025.82,35.8
317,11,"spread",0.266486912965775,51.291,0,-51.291,974.53,39
318,11,"spread",0.417447647094727,48.726,1,44.292,1018.82,36.2
319,11,"spread",0.221316096365452,50.941,0,-50.941,967.88,39.4
320,11,"spread",0.262853976964951,48.394,1,43.99,1011.87,36.7
321,11,"spread",0.178249510705471,49.605,1,45.091,1056.96,33.8
322,11,"spread",0.295583284914494,52.848,1,48.039,1105,30.8
323,11,"spread",0.161705132901669,49.143,1,44.671,1149.67,28
324,11,"spread",0.207261795341969,57.484,1,52.253,1201.92,24.8
325,11,"spread",0.186608062624931,60.096,1,54.627,1256.55,21.4
326,11,"spread",0.207097034275532,62.828,1,57.11,1313.66,17.8
327,11,"spread",0.156889854192734,56.683,0,-56.683,1256.98,21.3
328,11,"totals",0.17137460488081,59.245,0,-59.245,1197.73,25
329,11,"totals",0.218442335665226,59.887,0,-59.887,1137.85,28.8
330,11,"spread",0.217156675934792,56.892,0,-56.892,1080.95,32.3
331,11,"spread",0.27262733489275,54.048,1,49.129,1130.08,29.3
332,11,"spread",0.3237133923769,56.504,1,51.362,1181.45,26.1
333,12,"spread",0.175270726203918,56.951,0,-56.951,1124.5,29.6
334,12,"spread",0.398025412321091,56.225,0,-56.225,1068.27,33.1
335,12,"spread",0.515359527885914,53.414,0,-53.414,1014.86,36.5
336,12,"totals",0.176768709242344,49.339,0,-49.339,965.52,39.6
337,12,"spread",0.157941343843937,41.94,0,-41.94,923.58,42.2
338,12,"spread",0.28915578275919,46.179,1,41.977,965.55,39.6
339,12,"totals",0.142213261544704,37.765,0,-37.765,927.79,41.9
340,12,"spread",0.429063871204853,46.389,1,42.168,969.96,39.3
341,12,"totals",0.155079075455666,41.37,1,37.605,1007.56,36.9
342,12,"totals",0.181895076870918,50.378,0,-50.378,957.18,40.1
343,12,"spread",0.409418731093407,47.859,1,43.504,1000.69,37.4
344,12,"spread",0.335432478368282,50.034,1,45.481,1046.17,34.5
345,12,"spread",0.448741895258427,52.308,1,47.548,1093.72,31.5
346,12,"spread",0.271413701236248,54.686,0,-54.686,1039.03,35
347,12,"spread",0.222318544566631,51.952,1,47.224,1086.26,32
348,12,"totals",0.33000480735302,54.313,1,49.37,1135.63,28.9
349,12,"spread",0.232911839127541,56.781,0,-56.781,1078.85,32.5
350,12,"totals",0.361787308096886,53.942,1,49.034,1127.88,29.4
351,12,"spread",0.221314844727516,56.394,1,51.262,1179.14,26.2
352,12,"spread",0.343560273766518,58.957,1,53.592,1232.73,22.8
353,12,"spread",0.32346204072237,61.637,1,56.028,1288.76,19.3
354,12,"spread",0.296215589642525,64.438,0,-64.438,1224.32,23.4
355,12,"spread",0.510800152242184,61.216,1,55.645,1279.97,19.9
356,12,"totals",0.26562999612093,63.998,0,-63.998,1215.97,23.9
357,12,"spread",0.486633526980877,60.798,1,55.266,1271.24,20.4
358,12,"spread",0.395531239271164,63.562,0,-63.562,1207.67,24.4
359,12,"spread",0.277244399666786,60.384,1,54.889,1262.56,21
360,12,"spread",0.171712660908699,59.625,1,54.199,1316.76,17.6
361,12,"spread",0.163687158465386,59.279,0,-59.279,1257.48,21.3
362,12,"spread",0.154624617099762,53.476,0,-53.476,1204.01,24.6
363,12,"spread",0.619632687807083,60.2,1,54.722,1258.73,21.2
364,12,"spread",0.333453069865704,62.936,0,-62.936,1195.79,25.2
365,12,"totals",0.259216717123985,59.79,1,54.349,1250.14,21.8
366,12,"totals",0.163839403152466,56.332,0,-56.332,1193.81,25.3
367,12,"totals",0.151150183975697,49.627,1,45.111,1238.92,22.5
368,12,"spread",0.25571713745594,61.946,0,-61.946,1176.97,26.3
369,12,"spread",0.360373867511749,58.849,1,53.494,1230.47,23
370,12,"spread",0.176730136036873,59.808,0,-59.808,1170.66,26.7
371,12,"totals",0.231889933645725,58.533,1,53.207,1223.87,23.4
372,12,"spread",0.451564225018025,61.193,0,-61.193,1162.67,27.2
373,12,"spread",0.275804447114468,58.134,1,52.844,1215.52,23.9
374,12,"spread",0.387908422887325,60.776,1,55.245,1270.76,20.5
375,12,"spread",0.195496740102768,63.538,1,57.756,1328.52,16.9
376,12,"spread",0.22185634881258,66.426,0,-66.426,1262.09,21
377,12,"totals",0.201898868143559,63.105,1,57.362,1319.46,17.4
378,12,"spread",0.304378544688225,65.973,0,-65.973,1253.48,21.5
379,12,"spread",0.256003421187401,62.674,1,56.971,1310.45,18
380,12,"spread",0.178541711270809,64.348,0,-64.348,1246.1,22
381,12,"totals",0.231979141294956,62.305,1,56.635,1302.74,18.5
382,12,"spread",0.341543771266937,65.137,0,-65.137,1237.6,22.5
