"season","week","matchup","pick","pick_spread","gap","tier","go_rate_pick","go_rate_opp","result"
2023,4,"Auburn @ Texas A&M","Auburn",9,0.299,"STRONG",0.488,0.189,"LOSS"
2023,4,"Florida State @ Clemson","Florida State",-2,0.253,"STRONG",0.471,0.218,"WIN"
2023,4,"Rice @ South Florida","South Florida",2.5,0.253,"STRONG",0.6,0.347,"WIN"
2023,4,"Army @ Syracuse","Army",13,0.247,"STRONG",0.563,0.315,"WIN"
2023,4,"Iowa @ Penn State","Penn State",-14.2,0.211,"STRONG",0.418,0.207,"WIN"
2023,4,"SMU @ TCU","SMU",6.8,0.186,"std",0.6,0.414,"LOSS"
2023,4,"New Mexico State @ Hawai'i","Hawai'i",-3.7,0.172,"std",0.536,0.364,"LOSS"
2023,4,"Air Force @ San José State","Air Force",-6.2,0.171,"std",0.457,0.286,"WIN"
2023,4,"UNLV @ UTEP","UTEP",-0.2,0.162,"std",0.385,0.222,"LOSS"
2023,4,"Texas @ Baylor","Baylor",16.5,0.159,"std",0.589,0.43,"LOSS"
2023,4,"Florida Atlantic @ Illinois","Florida Atlantic",16,0.144,"std",0.379,0.235,"WIN"
2023,4,"Georgia Tech @ Wake Forest","Wake Forest",-3.7,0.144,"std",0.302,0.158,"LOSS"
2023,4,"UTSA @ Tennessee","Tennessee",-23.3,0.141,"std",0.538,0.397,"WIN"
2023,4,"Memphis @ Missouri","Memphis",6.5,0.12,"std",0.433,0.312,"LOSS"
2023,4,"Texas Tech @ West Virginia","Texas Tech",-5.8,0.118,"std",0.563,0.445,"LOSS"
2023,4,"Duke @ UConn","Duke",-22.2,0.115,"std",0.411,0.295,"WIN"
2023,4,"North Carolina @ Pittsburgh","North Carolina",-7.2,0.115,"std",0.46,0.345,"WIN"
2023,4,"Central Michigan @ South Alabama","South Alabama",-16.2,0.115,"std",0.561,0.446,"LOSS"
2023,4,"Oklahoma State @ Iowa State","Iowa State",-3.5,0.113,"std",0.328,0.215,"WIN"
2023,4,"Miami @ Temple","Temple",23.3,0.112,"std",0.491,0.378,"LOSS"
2023,4,"Ohio @ Bowling Green","Bowling Green",13,0.101,"std",0.374,0.273,"LOSS"
2024,1,"UNLV @ Houston","Houston",-2.2,0.222,"STRONG",0.477,0.256,"LOSS"
2024,1,"Florida State @ Georgia Tech","Florida State",-10.7,0.198,"std",0.439,0.241,"LOSS"
2024,1,"Western Michigan @ Wisconsin","Western Michigan",24.2,0.195,"std",0.511,0.316,"WIN"
2024,1,"North Carolina @ Minnesota","North Carolina",-0.3,0.186,"std",0.437,0.251,"WIN"
2024,1,"Temple @ Oklahoma","Temple",43,0.169,"std",0.579,0.41,"LOSS"
2024,1,"Florida International @ Indiana","Florida International",23.8,0.168,"std",0.506,0.338,"LOSS"
2024,1,"Florida Atlantic @ Michigan State","Michigan State",-12,0.149,"std",0.549,0.4,"LOSS"
2024,1,"Eastern Michigan @ Massachusetts","Eastern Michigan",2.5,0.147,"std",0.407,0.259,"WIN"
2024,1,"New Mexico @ Arizona","New Mexico",29.2,0.118,"std",0.389,0.271,"WIN"
2024,1,"Virginia Tech @ Vanderbilt","Vanderbilt",13.3,0.11,"std",0.461,0.351,"WIN"
2024,1,"Miami @ Florida","Florida",2.5,0.108,"std",0.476,0.368,"LOSS"
2024,1,"Coastal Carolina @ Jacksonville State","Coastal Carolina",3.5,0.104,"std",0.419,0.315,"WIN"
2024,1,"Southern Miss @ Kentucky","Kentucky",-25.5,0.101,"std",0.406,0.305,"WIN"
2024,2,"App State @ Clemson","App State",15.7,0.298,"STRONG",0.528,0.23,"LOSS"
2024,2,"Duke @ Northwestern","Duke",2.2,0.247,"STRONG",0.419,0.171,"WIN"
2024,2,"Temple @ Navy","Temple",12.2,0.246,"STRONG",0.579,0.333,"LOSS"
2024,2,"Middle Tennessee @ Ole Miss","Ole Miss",-42.5,0.232,"STRONG",0.613,0.381,"WIN"
2024,2,"South Florida @ Alabama","South Florida",31.7,0.194,"std",0.577,0.383,"WIN"
2024,2,"Michigan State @ Maryland","Michigan State",8.3,0.182,"std",0.551,0.369,"WIN"
2024,2,"Tennessee @ NC State","Tennessee",-10.7,0.179,"std",0.492,0.313,"WIN"
2024,2,"Western Michigan @ Ohio State","Western Michigan",37.3,0.171,"std",0.519,0.348,"LOSS"
2024,2,"Massachusetts @ Toledo","Toledo",-17.5,0.166,"std",0.448,0.282,"LOSS"
2024,2,"Baylor @ Utah","Baylor",14.7,0.164,"std",0.613,0.449,"WIN"
2024,2,"UTSA @ Texas State","Texas State",-2,0.163,"std",0.592,0.429,"WIN"
2024,2,"Kansas @ Illinois","Kansas",-4.8,0.158,"std",0.426,0.268,"LOSS"
2024,2,"Army @ Florida Atlantic","Army",2,0.142,"std",0.551,0.41,"WIN"
2024,2,"Iowa State @ Iowa","Iowa State",2.8,0.129,"std",0.323,0.194,"WIN"
2024,2,"Kansas State @ Tulane","Tulane",8.8,0.118,"std",0.441,0.322,"WIN"
2024,2,"Pittsburgh @ Cincinnati","Cincinnati",-0.5,0.103,"std",0.448,0.345,"WIN"
2024,3,"Ole Miss @ Wake Forest","Ole Miss",-21.5,0.286,"STRONG",0.613,0.327,"WIN"
